stock_id,name,market
2342,茂矽,sii
2344,華邦電,sii
2345,智邦,sii
2347,聯強,sii
2348,海悅,sii
2349,錸德,sii
2351,順德,sii
2352,佳世達,sii
2353,宏碁,sii
2354,鴻準,sii
2355,敬鵬,sii
2356,英業達,sii
2357,華碩,sii
2359,所羅門,sii
2360,致茂,sii
2362,藍天,sii
2363,矽統,sii
2364,倫飛,sii
2365,昆盈,sii
2367,燿華,sii
2368,金像電,sii
2369,菱生,sii
2371,大同,sii
2373,震旦行,sii
2374,佳能,sii
2375,凱美,sii
2376,技嘉,sii
2377,微星,sii
2379,瑞昱,sii
2380,虹光,sii
2382,廣達,sii
2383,台光電,sii
2385,群光,sii
2387,精元,sii
2388,威盛,sii
2390,云辰,sii
2392,正崴,sii
2393,億光,sii
2395,研華,sii
2397,友通,sii
2399,映泰,sii
2401,凌陽,sii
2402,毅嘉,sii
2404,漢唐,sii
2405,輔信,sii
2406,國碩,sii
2408,南亞科,sii
2409,友達,sii
2412,中華電,sii
2413,環科,sii
2414,精技,sii
2415,錩新,sii
2417,圓剛,sii
2419,仲琦,sii
2420,新巨,sii
2421,建準,sii
2423,固緯,sii
2424,隴華,sii
2425,承啟,sii
2426,鼎元,sii
2427,三商電,sii
2428,興勤,sii
2429,銘旺科,sii
2430,燦坤,sii
2431,聯昌,sii
2432,倚天酷碁-創,sii
2433,互盛電,sii
2434,統懋,sii
2436,偉詮電,sii
2438,翔耀,sii
2439,美律,sii
2440,太空梭,sii
2441,超豐,sii
2442,新美齊,sii
2444,兆勁,sii
2449,京元電子,sii
2450,神腦,sii
2451,創見,sii
2453,凌群,sii
2454,聯發科,sii
2455,全新,sii
2457,飛宏,sii
2458,義隆,sii
2459,敦吉,sii
2460,建通,sii
2461,光群雷,sii
2462,良得電,sii
2464,盟立,sii
2465,麗臺,sii
2466,冠西電,sii
2467,志聖,sii
2468,華經,sii
2471,資通,sii
2472,立隆電,sii
2474,可成,sii
2476,鉅祥,sii
2477,美隆電,sii
2478,大毅,sii
2480,敦陽科,sii
2481,強茂,sii
2482,連宇,sii
2483,百容,sii
2484,希華,sii
2485,兆赫,sii
2486,一詮,sii
2488,漢平,sii
2489,瑞軒,sii
2491,吉祥全,sii
2492,華新科,sii
2493,揚博,sii
2495,普安,sii
2496,卓越,sii
2497,怡利電,sii
2498,宏達電,sii
2501,國建,sii
2504,國產,sii
2505,國揚,sii
2506,太設,sii
2509,全坤建,sii
2511,太子,sii
2514,龍邦,sii
2515,中工,sii
2516,新建,sii
2520,冠德,sii
2524,京城,sii
2527,宏璟,sii
2528,皇普,sii
2530,華建,sii
2534,宏盛,sii
2535,達欣工,sii
2536,宏普,sii
2537,聯上發,sii
2538,基泰,sii
2539,櫻花建,sii
2540,愛山林,sii
2542,興富發,sii
2543,皇昌,sii
2545,皇翔,sii
2546,根基,sii
2547,日勝生,sii
2548,華固,sii
2596,綠意,otc
2597,潤弘,sii
2601,益航,sii
2603,長榮,sii
2605,新興,sii
2606,裕民,sii
2607,榮運,sii
2608,嘉里大榮,sii
2609,陽明,sii
2610,華航,sii
2611,志信,sii
2612,中航,sii
2613,中櫃,sii
2614,東森,sii
2615,萬海,sii
2616,山隆,sii
2617,台航,sii
2618,長榮航,sii
2630,亞航,sii
2633,台灣高鐵,sii
2634,漢翔,sii
2636,台驊控股,sii
2640,大車隊,otc
2641,正德,otc
2642,宅配通,sii
2643,捷迅,otc
2645,長榮航太,sii
2646,星宇航空,sii
2701,萬企,sii
2702,華園,sii
2704,國賓,sii
2705,六福,sii
2706,第一店,sii
2707,晶華,sii
2712,遠雄來,sii
2718,全心投控,otc
2719,燦星旅,otc
2722,夏都,sii
2727,王品,sii
2729,瓦城,otc
2731,雄獅,sii
2732,六角,otc
2734,易飛網,otc
2736,富野,otc
2739,寒舍,sii
2740,華軒,otc
2743,山富,otc
2745,五福,otc
2748,雲品,sii
2751,王座,otc
2752,豆府,otc
2753,八方雲集,sii
2754,亞洲藏壽司,otc
2755,揚秦,otc
2756,聯發國際,otc
2801,彰銀,sii
2812,台中銀,sii
2816,旺旺保,sii
2820,華票,sii
2832,台產,sii
2834,臺企銀,sii
2836,高雄銀,sii
2838,聯邦銀,sii
2845,遠東銀,sii
2849,安泰銀,sii
2850,新產,sii
2851,中再保,sii
2852,第一保,sii
2855,統一證,sii
2867,三商壽,sii
2880,華南金,sii
2881,富邦金,sii
2882,國泰金,sii
2883,凱基金,sii
2884,玉山金,sii
2885,元大金,sii
2886,兆豐金,sii
2887,台新新光金,sii
2889,國票金,sii
2890,永豐金,sii
2891,中信金,sii
2892,第一金,sii
2897,王道銀行,sii
2901,欣欣,sii
2903,遠百,sii
2904,匯僑,sii
2905,三商,sii
2906,高林,sii
2908,特力,sii
2910,統領,sii
2911,麗嬰房,sii
2912,統一超,sii
2913,農林,sii
2915,潤泰全,sii
2916,滿心,otc
2926,誠品生活,otc
2937,集雅社,otc
2941,米斯特,otc
2945,三商家購,sii
2947,振宇五金,otc
2948,寶陞,otc
2949,欣新網,otc
3002,歐格,sii
3003,健和興,sii
3004,豐達科,sii
3005,神基,sii
3006,晶豪科,sii
3008,大立光,sii
3010,華立,sii
3011,今皓,sii
3013,晟銘電,sii
3014,聯陽,sii
3015,全漢,sii
3016,嘉晶,sii
3017,奇鋐,sii
3018,隆銘綠能,sii
3019,亞光,sii
3021,鴻名,sii
3022,威強電,sii
3023,信邦,sii
3024,憶聲,sii
3025,星通,sii
3026,禾伸堂,sii
3027,盛達,sii
3028,增你強,sii
3029,零壹,sii
3030,德律,sii
3031,佰鴻,sii
3032,偉訓,sii
3033,威健,sii
3034,聯詠,sii
3035,智原,sii
3036,文曄,sii
3037,欣興,sii
3038,全台,sii
3040,遠見,sii
3041,揚智,sii
3042,晶技,sii
3043,科風,sii
3044,健鼎,sii
3045,台灣大,sii
3046,建碁,sii
3047,訊舟,sii
3048,益登,sii
3049,精金,sii
3050,鈺德,sii
3051,力特,sii
3052,夆典,sii
3054,立萬利,sii
3055,蔚華科,sii
3056,富華新,sii
3057,喬鼎,sii
3058,立德,sii
3059,華晶科,sii
3060,銘異,sii
3062,建漢,sii
3064,泰偉,otc
3066,李洲,otc
3067,全域,otc
3071,協禧,otc
3073,天方能源,otc
3078,僑威,otc
3081,聯亞,otc
3083,網龍,otc
3085,新零售,otc
3086,華義*,otc
3088,艾訊,otc
3090,日電貿,sii
3092,鴻碩,sii
3093,港建*,otc
3094,聯傑,sii
3095,及成,otc
3105,穩懋,otc
3114,好德,otc
3115,富榮綱,otc
3118,進階,otc
3122,笙泉,otc
3128,昇銳,otc
3130,一零四,sii
3131,弘塑,otc
3135,凌航,sii
3138,耀登,sii
3141,晶宏,otc
3147,大綜,otc
3149,正達,sii
3150,鈺寶-創,sii
3152,璟德,otc
3158,嘉實,otc
3162,精確,otc
3163,波若威,otc
3164,景岳,sii
3167,大量,sii
3168,眾福科,sii
3169,亞信,otc
3171,炎洲流通,otc
3176,基亞,otc
3178,公準,otc
3188,鑫龍騰,otc
3189,景碩,sii
3191,雲嘉南,otc
3205,佰研,otc
3206,志豐,otc
3207,耀勝,otc
3209,全科,sii
3211,順達,otc
3213,茂訊,otc
3217,優群,otc
3218,大學光,otc
3219,倚強科,otc
3221,台嘉碩,otc
3224,三顧,otc
3226,龍鋒,otc
3227,原相,otc
3228,金麗科,otc
3229,晟鈦,sii
3230,錦明,otc
3231,緯創,sii
3232,昱捷,otc
3234,光環,otc
3236,千如,otc
3252,海灣,otc
3257,虹冠電,sii
3259,鑫創,otc
3260,威剛,otc
3264,欣銓,otc
3265,台星科,otc
3266,昇陽,sii
3268,海德威,otc
3272,東碩,otc
3276,宇環,otc
3284,太普高,otc
3285,微端,otc
3287,廣寰科,otc
3288,點晶,otc
3289,宜特,otc
3290,東浦,otc
3293,鈊象,otc
3294,英濟,otc
3296,勝德,sii
3297,杭特,otc
3303,岱稜,otc
3305,昇貿,sii
3306,鼎天,otc
3308,聯德,sii
3310,佳穎,otc
3311,閎暉,sii
3312,弘憶股,sii
3313,斐成,otc
3317,尼克森,otc
3321,同泰,sii
3322,建舜電,otc
3323,加百裕,otc
3324,雙鴻,otc
3325,旭品,otc
3332,幸康,otc
3338,泰碩,sii
3339,泰谷,otc
3346,麗清,sii
3349,寶德,otc
3354,律勝,otc
3356,奇偶,sii
3357,臺慶科,otc
3360,尚立,otc
3362,先進光,otc
3363,上詮,otc
